"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D19","SOT23_3L_REFLOWSOLDERING","3275mil","1875mil","3275mil","1875mil","3236.614mil","1831.693mil","T","270.00","BAT54C"
"U5","SI943C_REV_A","5574.295mil","1424.583mil","5574.295mil","524.976mil","5574.295mil","682.457mil","T","90.00","SC943-0C"
"L3","744272102","70mil","2370mil","70mil","2370mil","192.441mil","2520mil","T","270.00","744272102"
"C39","0805_REFLOWSOLDERING_CAP","6637.5mil","2056.25mil","6637.5mil","2056.25mil","6673.5mil","2056.25mil","T","180.00","C_0805_X5R_10%_10U-16V"
"C38","0805_REFLOWSOLDERING_CAP","6637.5mil","2137.5mil","6637.5mil","2137.5mil","6601.5mil","2137.5mil","T","0.00","C_0805_X7R_10%_100N-50V"
"VR1","VDR_SERIE_820_D7_H13_E5MM","612.5mil","793.75mil","612.5mil","793.75mil","643.209mil","892.175mil","T","270.00","VDR_820572711"
"D38","DO219AB-SMF-P_REFLOWSOLDERING","7410mil","2630mil","7410mil","2630mil","7467.087mil","2630mil","T","360.00","SMF5V0A-GS08"
"U4","QFP_064_E0,50_10X10MM","3215.15mil","2515.679mil","3215.15mil","2515.679mil","3435.622mil","2368.041mil","T","180.00","PIC16F946-I/PT"
"K13","RELAY_FINDER_40.61_+SUPPORT_95","7875mil","1148.819mil","7875mil","1162.599mil","7727.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"SUP_K13","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","7875mil","1164.37mil","-2738.709mil","-5069mil","T","180.00","RELAY-SUPPORT_95.15.2"
"SUP_K12","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","7275mil","1164.37mil","-2738.709mil","-5069mil","T","180.00","RELAY-SUPPORT_95.15.2"
"K12","RELAY_FINDER_40.61_+SUPPORT_95","7275mil","1148.819mil","7275mil","1162.599mil","7127.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"C34","0805_REFLOWSOLDERING_CAP","8614.797mil","2132.75mil","8614.797mil","2132.75mil","8614.797mil","2168.75mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C27","0805_REFLOWSOLDERING_CAP","5814.797mil","2132.75mil","5814.797mil","2132.75mil","5814.797mil","2168.75mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C5","0805_REFLOWSOLDERING_CAP","1095.25mil","2132.75mil","1095.25mil","2132.75mil","1095.25mil","2168.75mil","T","270.00","C_0805_X7R_10%_100N-50V"
"VR2","VDR_SERIE_820_D7_H13_E5MM","5275mil","330.63mil","5275mil","330.63mil","5244.291mil","232.205mil","T","90.00","VDR_820572711"
"D28","DO219AB-SMF-P_REFLOWSOLDERING","6380mil","2400mil","6380mil","2400mil","6380mil","2342.913mil","T","270.00","SMF5V0A-GS08"
"VR3","VDR_SERIE_820_D7_H13_E5MM","8075mil","330.63mil","8075mil","330.63mil","8044.291mil","232.205mil","T","90.00","VDR_820572711"
"D2","DO219AB-SMF-P_REFLOWSOLDERING","176.25mil","2905.63mil","176.25mil","2905.63mil","233.337mil","2905.63mil","T","360.00","SMF5V0A-GS08"
"D1","DO219AB-SMF-P_REFLOWSOLDERING","176.25mil","3011.88mil","176.25mil","3011.88mil","233.337mil","3011.88mil","T","360.00","SMF5V0A-GS08"
"D41","DO219AB-SMF-P_REFLOWSOLDERING","7645mil","2770mil","7645mil","2770mil","7702.087mil","2770mil","T","360.00","SMF5V0A-GS08"
"D40","DO219AB-SMF-P_REFLOWSOLDERING","7880mil","2770mil","7880mil","2770mil","7937.087mil","2770mil","T","360.00","SMF5V0A-GS08"
"D36","DO219AB-SMF-P_REFLOWSOLDERING","8115mil","2770mil","8115mil","2770mil","8172.087mil","2770mil","T","360.00","SMF5V0A-GS08"
"D35","DO219AB-SMF-P_REFLOWSOLDERING","7175mil","2630mil","7175mil","2630mil","7232.087mil","2630mil","T","360.00","SMF5V0A-GS08"
"D33","DO219AB-SMF-P_REFLOWSOLDERING","8350mil","2770mil","8350mil","2770mil","8407.087mil","2770mil","T","360.00","SMF5V0A-GS08"
